EntiteFinanciereProgramme;NomenclatureComptable;DEPENSES_RECETTES;INVESTISSEMENT_FONCTIONNEMENT;CodeChapitre;LibelleChapitre;CodeArticle;LibelleArticle;CodePresentationCroisee;LibellePresentationCroisee;ORDRE_REEL;MontantRealise
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64132;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;734;Eaux pluviales;Reel;9.16
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64132;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;844;Voirie metropolitaine;Reel;1821.26
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;20;Administration generale de la collectivite;Reel;514385.39
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;32;Conseil economique et social regional ou Conseil de developpement;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;311;Activites artistiques, actions et manifestations culturelles;Reel;64622.85
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;318;Archeologie preventive;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;428;Autres interventions sociales;Reel;297545.32
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;515;Operations d amenagement;Reel;53967.82
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;113732.36
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;821;Transport sur route;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64138;Remunerations du personnel - Primes et autres indemnites;844;Voirie metropolitaine;Reel;58266.1
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64162;Remunerations du personnel - Emplois d avenir;515;Operations d amenagement;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64162;Remunerations du personnel - Emplois d avenir;734;Eaux pluviales;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64162;Remunerations du personnel - Emplois d avenir;80;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64168;Remunerations du personnel - Autres emplois aides;22;Information, communication, publicite;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64168;Remunerations du personnel - Autres emplois aides;61;Interventions economiques transversales;Reel;5953.87
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64168;Remunerations du personnel - Autres emplois aides;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;55.97
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6417;Remunerations du personnel - Remunerations des apprentis;22;Information, communication, publicite;Reel;13680.12
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6417;Remunerations du personnel - Remunerations des apprentis;311;Activites artistiques, actions et manifestations culturelles;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6417;Remunerations du personnel - Remunerations des apprentis;318;Archeologie preventive;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6417;Remunerations du personnel - Remunerations des apprentis;518;Autres actions d amenagement urbain;Reel;22737.18
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6417;Remunerations du personnel - Remunerations des apprentis;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;4396.39
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6417;Remunerations du personnel - Remunerations des apprentis;735;Lutte contre les inondations;Reel;9857.68
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6417;Remunerations du personnel - Remunerations des apprentis;847;Equipements de voirie;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;25;Cimetieres et pompes funebres;Reel;332431.44
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;18;Autres interventions de protections des personnes et des biens;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;518;Autres actions d amenagement urbain;Reel;219110.52
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;52;Politique de la ville;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;70;Services communs;Reel;112835.19
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;731;Politique de l eau;Reel;16522.84
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;80;Services communs;Reel;192209.21
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6451;Charges de securite sociale et de prevoyance - Cotisations a  l U.R.S.S.A.F.;847;Equipements de voirie;Reel;359694.27
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6453;Charges de securite sociale et de prevoyance - Cotisations aux caisses de retraite;30;Services communs;Reel;53544.81
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6453;Charges de securite sociale et de prevoyance - Cotisations aux caisses de retraite;511;Espaces verts urbains;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6453;Charges de securite sociale et de prevoyance - Cotisations aux caisses de retraite;552;Aide au secteur locatif;Reel;41402.05
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6453;Charges de securite sociale et de prevoyance - Cotisations aux caisses de retraite;731;Politique de l eau;Reel;2216.4
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6453;Charges de securite sociale et de prevoyance - Cotisations aux caisses de retraite;734;Eaux pluviales;Reel;43129.49
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6453;Charges de securite sociale et de prevoyance - Cotisations aux caisses de retraite;80;Services communs;Reel;386811.97
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6453;Charges de securite sociale et de prevoyance - Cotisations aux caisses de retraite;847;Equipements de voirie;Reel;737561.88
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;20;Administration generale de la collectivite;Reel;116441.06
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;32;Conseil economique et social regional ou Conseil de developpement;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;311;Activites artistiques, actions et manifestations culturelles;Reel;13163.02
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;318;Archeologie preventive;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;428;Autres interventions sociales;Reel;46078.74
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;731;Politique de l eau;Reel;2137.28
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6454;Charges de securite sociale et de prevoyance - Cotisations aux A.S.S.E.D.I.C;735;Lutte contre les inondations;Reel;352.9
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6456;Charges de securite sociale et de prevoyance - Versement au F.N.C du supplement familial;20;Administration generale de la collectivite;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6457;Charges de securite sociale et de prevoyance - Cotisations sociales liees a  l apprentissage;325;Autres equipements sportifs ou de loisirs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6457;Charges de securite sociale et de prevoyance - Cotisations sociales liees a  l apprentissage;61;Interventions economiques transversales;Reel;252.65
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6457;Charges de securite sociale et de prevoyance - Cotisations sociales liees a  l apprentissage;847;Equipements de voirie;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6474;Autres charges sociales - Versements aux oeuvres sociales;20;Administration generale de la collectivite;Reel;1551252.03
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6474;Autres charges sociales - Versements aux oeuvres sociales;22;Information, communication, publicite;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6474;Autres charges sociales - Versements aux oeuvres sociales;41;Actions relevant de la subvention globale;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6474;Autres charges sociales - Versements aux oeuvres sociales;420;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6474;Autres charges sociales - Versements aux oeuvres sociales;50;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6474;Autres charges sociales - Versements aux oeuvres sociales;7213;Tri, valorisation et traitement des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6474;Autres charges sociales - Versements aux oeuvres sociales;80;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;648;Autres charges de personnel;25;Cimetieres et pompes funebres;Reel;66376.85
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;648;Autres charges de personnel;31;Assemblee deliberante;Reel;15464.8
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;648;Autres charges de personnel;41;Actions relevant de la subvention globale;Reel;12913.17
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;648;Autres charges de personnel;18;Autres interventions de protections des personnes et des biens;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;648;Autres charges de personnel;30;Services communs;Reel;11719.82
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;648;Autres charges de personnel;311;Activites artistiques, actions et manifestations culturelles;Reel;36174.15
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;648;Autres charges de personnel;50;Services communs;Reel;3814.0
Budget principal TM;M57;Depense;Fonctionnement;14;Attenuations de produits (regroupe 701249,70389,70619,7068129,739,7419,748719,748729,749);73918;Autres reversements et restitutions sur fiscalite locale;633;Developpement touristique;Reel;456201.27
Budget principal TM;M57;Depense;Fonctionnement;14;Attenuations de produits (regroupe 701249,70389,70619,7068129,739,7419,748719,748729,749);739212;Dotation de solidarite communautaire;1;Operations non ventilables;Reel;21048935.0
Budget principal TM;M57;Depense;Fonctionnement;22;Depenses imprevues (dans le cadre d une AE);22;Depenses imprevues (dans le cadre d une AE);1;Operations non ventilables;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;42;Operations d ordre de transfert entre sections;66111;Charges d interets - Interets regles a  l echeance;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Fonctionnement;42;Operations d ordre de transfert entre sections;675;Valeurs comptables des immobilisations cedees (O);1;Operations non ventilables;Ordre;335988.34
Budget principal TM;M57;Depense;Fonctionnement;42;Operations d ordre de transfert entre sections;6811;Dotations aux amortissements, aux depreciations et aux provisions Charges d exploitation - Dotations aux amortissements sur immobilisations incorporelles et corporelles;1;Operations non ventilables;Ordre;56800387.42
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65131;Aides a  la personne - Bourses;311;Activites artistiques, actions et manifestations culturelles;Reel;34658.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65132;Aides a  la personne - Prix;325;Autres equipements sportifs ou de loisirs;Reel;500.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65132;Aides a  la personne - Prix;511;Espaces verts urbains;Reel;18000.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65312;Indemnites - Frais de mission et de deplacement;31;Assemblee deliberante;Reel;74144.15
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65314;Indemnites - Cotisations de securite sociale - part patronale;20;Administration generale de la collectivite;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65314;Indemnites - Cotisations de securite sociale - part patronale;31;Assemblee deliberante;Reel;531800.46
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;653172;Indemnites - Cotisations au fonds de financement de l allocation de fin de mandat;20;Administration generale de la collectivite;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;6542;Creances eteintes;1;Operations non ventilables;Reel;6909.59
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;6558;Contributions obligatoires - Autres contributions obligatoires;420;Services communs;Reel;325314.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;6561;Participations - Organismes de regroupement (syndicats mixtes et ententes);7213;Tri, valorisation et traitement des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;6561;Participations - Organismes de regroupement (syndicats mixtes et ententes);735;Lutte contre les inondations;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65731;Subventions - Etat;41;Actions relevant de la subvention globale;Reel;544237.5
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65732;Subventions - Regions;61;Interventions economiques transversales;Reel;50000.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;657341;Subventions - Communes membres du GFP;20;Administration generale de la collectivite;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;657381;Subventions - Autres etablissements publics locaux;311;Activites artistiques, actions et manifestations culturelles;Reel;80000.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;657381;Subventions - Autres etablissements publics locaux;325;Autres equipements sportifs ou de loisirs;Reel;100000.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65748;Subventions - Autres personnes de droit prive;316;Thea¢tres;Reel;2496540.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;6581;Charges diverses de gestion courante - Redevances pour concessions, brevets, licences, procedes, droits et valeurs similaires;20;Administration generale de la collectivite;Reel;29620.6
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;6581;Charges diverses de gestion courante - Redevances pour concessions, brevets, licences, procedes, droits et valeurs similaires;314;Musees;Reel;44633.83
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65821;Charges diverses de gestion courante - Deficit des budgets annexes a  caractere administratif;61;Interventions economiques transversales;Reel;2000000.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;6583;Charges diverses de gestion courante - Interaªts moratoires et penalites sur marches;1;Operations non ventilables;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;65;Autres charges de gestion courante;65888;Charges diverses de gestion courante - Autres;7213;Tri, valorisation et traitement des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;66;Charges financieres;666;Pertes de change sur creances et dettes financieres;1;Operations non ventilables;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;66;Charges financieres;6688;Autres Charges financieres;1;Operations non ventilables;Reel;36026.14
Budget principal TM;M57;Depense;Fonctionnement;67;Charges exceptionnelles;673;Titres annules (sur exercices anterieurs);325;Autres equipements sportifs ou de loisirs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;67;Charges exceptionnelles;673;Titres annules (sur exercices anterieurs);61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Investissement;40;Operations d ordre de transfert entre sections;139158;Subventions d investissement transferees au compte de resultat - Subventions d investissement rattachees aux actifs amortissablest - Autres groupements;1;Operations non ventilables;Ordre;280.0
Budget principal TM;M57;Depense;Investissement;40;Operations d ordre de transfert entre sections;21351;Constructions - Ba¢timents publics;1;Operations non ventilables;Ordre;341824.52
Budget principal TM;M57;Depense;Investissement;40;Operations d ordre de transfert entre sections;21828;Autres immobilisations corporelles - Autres materiels de transport;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;40;Operations d ordre de transfert entre sections;28087;Amortissements des immobilisations incorporelles recues au titre d une mise a  disposition;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;40;Operations d ordre de transfert entre sections;28151;Amortissements des immobilisations corporelles - Reseaux de voirie;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;40;Operations d ordre de transfert entre sections;2817311;Amortissements des immobilisations corporelles - Ba¢timents administratifs;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;40;Operations d ordre de transfert entre sections;4912;Depreciations des comptes de redevables - Depreciation des comptes de redevables (budgetaires);1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;41;Operations patrimoniales;166;Refinancement de dette;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;41;Operations patrimoniales;21538;Installations, materiel et outillage techniques - Autres reseaux;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;41;Operations patrimoniales;21828;Autres immobilisations corporelles - Autres materiels de transport;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;41;Operations patrimoniales;21848;Autres immobilisations corporelles - Autres materiels de bureau et mobiliers;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;41;Operations patrimoniales;2313;Immobilisations corporelles en cours - Constructions;1;Operations non ventilables;Ordre;63367921.93
Budget principal TM;M57;Depense;Investissement;41;Operations patrimoniales;238;Avances versees sur commandes d immobilisations corporelles;1;Operations non ventilables;Ordre;0.0
Budget principal TM;M57;Depense;Investissement;13;Subventions d investissement;1322;Subventions d investissement rattachees aux actifs non amortissables - Regions;61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Investissement;13;Subventions d investissement;1323;Subventions d investissement rattachees aux actifs non amortissables - Departements;7212;Collecte des dechets;Reel;1220.0
Budget principal TM;M57;Depense;Investissement;13;Subventions d investissement;1323;Subventions d investissement rattachees aux actifs non amortissables - Departements;844;Voirie metropolitaine;Reel;0.01
Budget principal TM;M57;Depense;Investissement;13;Subventions d investissement;1348;Fonds affectes a  l equipement non amortissable - Autres;844;Voirie metropolitaine;Reel;0.0
Budget principal TM;M57;Depense;Investissement;16;Emprunts et dettes assimilees;165;Depots et cautionnements recus;1;Operations non ventilables;Reel;8623.97
Budget principal TM;M57;Depense;Investissement;20;immobilisations incorporelles;2031;Frais d etudes, de recherche et de developpement et frais d insertion - Frais d etudes;312;Patrimoine;Reel;0.0
Budget principal TM;M57;Depense;Investissement;20;immobilisations incorporelles;2031;Frais d etudes, de recherche et de developpement et frais d insertion - Frais d etudes;325;Autres equipements sportifs ou de loisirs;Reel;0.0
Budget principal TM;M57;Depense;Investissement;20;immobilisations incorporelles;2031;Frais d etudes, de recherche et de developpement et frais d insertion - Frais d etudes;511;Espaces verts urbains;Reel;392682.4
Budget principal TM;M57;Depense;Investissement;20;immobilisations incorporelles;2031;Frais d etudes, de recherche et de developpement et frais d insertion - Frais d etudes;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Investissement;20;immobilisations incorporelles;2031;Frais d etudes, de recherche et de developpement et frais d insertion - Frais d etudes;844;Voirie metropolitaine;Reel;1349986.53
Budget principal TM;M57;Depense;Investissement;20;immobilisations incorporelles;2051;Concessions et droits similaires;50;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Investissement;20;immobilisations incorporelles;2051;Concessions et droits similaires;61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;204111;Subventions d equipement versees - Biens mobiliers, materiel et etudes;552;Aide au secteur locatif;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;204111;Subventions d equipement versees - Biens mobiliers, materiel et etudes;61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;2041412;Subventions d equipement versees - Ba¢timents et installations;1;Operations non ventilables;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;2041481;Subventions d equipement versees - Biens mobiliers, materiel et etudes;61;Interventions economiques transversales;Reel;537893.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;20415332;Subventions d equipement versees - Ba¢timents et installations;311;Activites artistiques, actions et manifestations culturelles;Reel;223122.03
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;2041581;Subventions d equipement versees - Biens mobiliers, materiel et etudes;515;Operations d amenagement;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;204181;Subventions d equipement versees - Biens mobiliers, materiel et etudes;552;Aide au secteur locatif;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;204182;Subventions d equipement versees - Ba¢timents et installations;844;Voirie metropolitaine;Reel;102000.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;20421;Subventions d equipement versees - Biens mobiliers, materiel et etudes;61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;20422;Subventions d equipement versees - Ba¢timents et installations;511;Espaces verts urbains;Reel;0.0
Budget principal TM;M57;Depense;Investissement;204;Subventions d equipement versees;20422;Subventions d equipement versees - Ba¢timents et installations;61;Interventions economiques transversales;Reel;200000.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2111;Terrains - Terrains nus;552;Aide au secteur locatif;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2121;Agencements et amenagements de terrains - Plantations d arbres et d arbustes;325;Autres equipements sportifs ou de loisirs;Reel;86760.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2128;Agencements et amenagements de terrains - Autres agencements et amenagements;322;Stades;Reel;42961.56
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21351;Constructions - Ba¢timents publics;322;Stades;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21351;Constructions - Ba¢timents publics;325;Autres equipements sportifs ou de loisirs;Reel;100644.87
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21351;Constructions - Ba¢timents publics;515;Operations d amenagement;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2151;Installations, materiel et outillage techniques - Reseaux de voirie;22;Information, communication, publicite;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2151;Installations, materiel et outillage techniques - Reseaux de voirie;61;Interventions economiques transversales;Reel;185621.81
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21534;Installations, materiel et outillage techniques - Reseaux d electrification;514;Electrification;Reel;546328.47
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21538;Installations, materiel et outillage techniques - Autres reseaux;734;Eaux pluviales;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;215731;Installations, materiel et outillage techniques - Materiel roulant;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21578;Installations, materiel et outillage techniques - Autre materiel technique;844;Voirie metropolitaine;Reel;116987.25
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2158;Installations, materiel et outillage techniques - Autres installations, materiel et outillage techniques;25;Cimetieres et pompes funebres;Reel;30265.58
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2158;Installations, materiel et outillage techniques - Autres installations, materiel et outillage techniques;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;291572.03
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2161;Collections et oeuvres d art - oeuvres et objets d art;314;Musees;Reel;150148.3
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2181;Autres immobilisations corporelles - Installations generales, agencements et amenagements divers;61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21828;Autres immobilisations corporelles - Autres materiels de transport;325;Autres equipements sportifs ou de loisirs;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21828;Autres immobilisations corporelles - Autres materiels de transport;821;Transport sur route;Reel;4814.8
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21838;Autres immobilisations corporelles - Autre materiel informatique;844;Voirie metropolitaine;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;21848;Autres immobilisations corporelles - Autres materiels de bureau et mobiliers;25;Cimetieres et pompes funebres;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles - Autres;32;Conseil economique et social regional ou Conseil de developpement;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles - Autres;312;Patrimoine;Reel;3739.66
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles - Autres;314;Musees;Reel;291304.85
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles - Autres;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles - Autres;847;Equipements de voirie;Reel;99886.28
Budget principal TM;M57;Depense;Investissement;23;Immobilisations en cours;2313;Immobilisations corporelles en cours - Constructions;61;Interventions economiques transversales;Reel;1591702.75
Budget principal TM;M57;Depense;Investissement;23;Immobilisations en cours;2315;Immobilisations corporelles en cours - Installations, materiel et outillage techniques;311;Activites artistiques, actions et manifestations culturelles;Reel;0.0
